T08,Public expenditure on education (new),,,,
756,Switzerland,2010,All staff compensation as % of total expenditure in public institutions (%),75.1917,
756,Switzerland,2010,Capital expenditure as % of total expenditure in public institutions (%),8.6046,
756,Switzerland,2010,Expenditure by level of education: pre-primary (as % of government expenditure),3.718,
756,Switzerland,2010,Expenditure by level of education: primary (as % of government expenditure),27.9699,
756,Switzerland,2010,Expenditure by level of education: secondary (as % of government expenditure),41.2695,
756,Switzerland,2010,Expenditure by level of education: tertiary (as % of government expenditure),25.3071,
756,Switzerland,2010,Government expenditure on education (% of government expenditure),15.3909,
756,Switzerland,2010,Public expenditure on education (% of GDP),4.9261,
756,Switzerland,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),15.4407,
756,Switzerland,2015,All staff compensation as % of total expenditure in public institutions (%),74.3167,
756,Switzerland,2015,Capital expenditure as % of total expenditure in public institutions (%),10.2427,
756,Switzerland,2015,Expenditure by level of education: pre-primary (as % of government expenditure),7.9185,
756,Switzerland,2015,Expenditure by level of education: primary (as % of government expenditure),28.5237,
756,Switzerland,2015,Expenditure by level of education: secondary (as % of government expenditure),35.571,
756,Switzerland,2015,Expenditure by level of education: tertiary (as % of government expenditure),26.2626,
756,Switzerland,2015,Government expenditure on education (% of government expenditure),15.5289,
756,Switzerland,2015,Public expenditure on education (% of GDP),5.1006,
756,Switzerland,2016,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),15.2898,
756,Switzerland,2016,All staff compensation as % of total expenditure in public institutions (%),74.1145,
756,Switzerland,2016,Capital expenditure as % of total expenditure in public institutions (%),10.5957,
756,Switzerland,2016,Expenditure by level of education: pre-primary (as % of government expenditure),7.988,
756,Switzerland,2016,Expenditure by level of education: primary (as % of government expenditure),28.9482,
756,Switzerland,2016,Expenditure by level of education: tertiary (as % of government expenditure),26.0032,
756,Switzerland,2016,Government expenditure on education (% of government expenditure),15.5125,
756,Switzerland,2016,Public expenditure on education (% of GDP),5.1133,
760,Syrian Arab Republic,2002,Expenditure by level of education: primary (as % of government expenditure),44.3783,
760,Syrian Arab Republic,2002,Expenditure by level of education: secondary (as % of government expenditure),33.4148,
760,Syrian Arab Republic,2002,Expenditure by level of education: tertiary (as % of government expenditure),20.991,
760,Syrian Arab Republic,2002,Government expenditure on education (% of government expenditure),16.8261,
760,Syrian Arab Republic,2002,Public expenditure on education (% of GDP),5.24,
760,Syrian Arab Republic,2004,Expenditure by level of education: tertiary (as % of government expenditure),24.8216,
760,Syrian Arab Republic,2004,Government expenditure on education (% of government expenditure),17.1454,
760,Syrian Arab Republic,2004,Public expenditure on education (% of GDP),5.3715,
760,Syrian Arab Republic,2009,Expenditure by level of education: primary (as % of government expenditure),38.8728,
760,Syrian Arab Republic,2009,Expenditure by level of education: secondary (as % of government expenditure),36.9045,
760,Syrian Arab Republic,2009,Expenditure by level of education: tertiary (as % of government expenditure),24.2228,
760,Syrian Arab Republic,2009,Government expenditure on education (% of government expenditure),19.1841,
760,Syrian Arab Republic,2009,Public expenditure on education (% of GDP),5.1301,
762,Tajikistan,2005,Expenditure by level of education: pre-primary (as % of government expenditure),3.8477,
762,Tajikistan,2005,Expenditure by level of education: tertiary (as % of government expenditure),7.3862,
762,Tajikistan,2005,Government expenditure on education (% of government expenditure),15.2934,
762,Tajikistan,2005,Public expenditure on education (% of GDP),3.5121,
762,Tajikistan,2010,Expenditure by level of education: pre-primary (as % of government expenditure),4.9712,
762,Tajikistan,2010,Expenditure by level of education: tertiary (as % of government expenditure),10.0754,
762,Tajikistan,2010,Government expenditure on education (% of government expenditure),15.3315,
762,Tajikistan,2010,Public expenditure on education (% of GDP),4.0068,
762,Tajikistan,2015,Capital expenditure as % of total expenditure in public institutions (%),13.9806,
762,Tajikistan,2015,Expenditure by level of education: pre-primary (as % of government expenditure),5.3371,
762,Tajikistan,2015,Expenditure by level of education: tertiary (as % of government expenditure),9.9455,
762,Tajikistan,2015,Government expenditure on education (% of government expenditure),16.3934,
762,Tajikistan,2015,Public expenditure on education (% of GDP),5.2314,
764,Thailand,2004,Expenditure by level of education: pre-primary (as % of government expenditure),10.4124,
764,Thailand,2004,Expenditure by level of education: primary (as % of government expenditure),30.9651,
764,Thailand,2004,Expenditure by level of education: secondary (as % of government expenditure),23.988,
764,Thailand,2004,Expenditure by level of education: tertiary (as % of government expenditure),20.6129,
764,Thailand,2004,Government expenditure on education (% of government expenditure),21.4577,
764,Thailand,2004,Public expenditure on education (% of GDP),4.0309,
764,Thailand,2005,Expenditure by level of education: pre-primary (as % of government expenditure),13.6357,
764,Thailand,2005,Expenditure by level of education: tertiary (as % of government expenditure),21.6855,
764,Thailand,2005,Government expenditure on education (% of government expenditure),20.5468,
764,Thailand,2005,Public expenditure on education (% of GDP),3.9386,
764,Thailand,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),45.8208,
764,Thailand,2010,All staff compensation as % of total expenditure in public institutions (%),50.9015,
764,Thailand,2010,Capital expenditure as % of total expenditure in public institutions (%),3.2777,
764,Thailand,2010,Expenditure by level of education: pre-primary (as % of government expenditure),5.7268,
764,Thailand,2010,Expenditure by level of education: primary (as % of government expenditure),40.085,
764,Thailand,2010,Expenditure by level of education: secondary (as % of government expenditure),28.6118,
764,Thailand,2010,Expenditure by level of education: tertiary (as % of government expenditure),16.5096,
764,Thailand,2010,Government expenditure on education (% of government expenditure),16.2226,
764,Thailand,2010,Public expenditure on education (% of GDP),3.5084,
764,Thailand,2013,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),45.8288,
764,Thailand,2013,All staff compensation as % of total expenditure in public institutions (%),49.2065,
764,Thailand,2013,Capital expenditure as % of total expenditure in public institutions (%),4.9647,
764,Thailand,2013,Expenditure by level of education: pre-primary (as % of government expenditure),5.4168,
764,Thailand,2013,Expenditure by level of education: primary (as % of government expenditure),41.106,
764,Thailand,2013,Expenditure by level of education: secondary (as % of government expenditure),29.815,
764,Thailand,2013,Expenditure by level of education: tertiary (as % of government expenditure),15.5533,
764,Thailand,2013,Government expenditure on education (% of government expenditure),19.1259,
764,Thailand,2013,Public expenditure on education (% of GDP),4.124,
764,Thailand,2014,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),31.8449,
764,Thailand,2014,All staff compensation as % of total expenditure in public institutions (%),62.4809,
764,Thailand,2014,Capital expenditure as % of total expenditure in public institutions (%),5.6742,
626,Timor-Leste,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),52.509,
626,Timor-Leste,2010,All staff compensation as % of total expenditure in public institutions (%),37.7785,
626,Timor-Leste,2010,Capital expenditure as % of total expenditure in public institutions (%),9.7125,
626,Timor-Leste,2010,Expenditure by level of education: tertiary (as % of government expenditure),10.4329,
626,Timor-Leste,2010,Government expenditure on education (% of government expenditure),9.1542,
626,Timor-Leste,2010,Public expenditure on education (% of GDP),2.4494,
626,Timor-Leste,2014,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),46.4236,
626,Timor-Leste,2014,All staff compensation as % of total expenditure in public institutions (%),49.5369,
626,Timor-Leste,2014,Capital expenditure as % of total expenditure in public institutions (%),4.0395,
626,Timor-Leste,2014,Expenditure by level of education: pre-primary (as % of government expenditure),1.1784,
626,Timor-Leste,2014,Expenditure by level of education: primary (as % of government expenditure),64.8913,
626,Timor-Leste,2014,Expenditure by level of education: secondary (as % of government expenditure),29.8189,
626,Timor-Leste,2014,Expenditure by level of education: tertiary (as % of government expenditure),4.1113,
626,Timor-Leste,2014,Government expenditure on education (% of government expenditure),6.7729,
626,Timor-Leste,2014,Public expenditure on education (% of GDP),2.6913,
626,Timor-Leste,2015,Government expenditure on education (% of government expenditure),8.637,
626,Timor-Leste,2015,Public expenditure on education (% of GDP),4.3539,
626,Timor-Leste,2018,Government expenditure on education (% of government expenditure),7.9341,Estimate.
626,Timor-Leste,2018,Public expenditure on education (% of GDP),4.1284,Estimate.
768,Togo,2000,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),20.9213,
768,Togo,2000,All staff compensation as % of total expenditure in public institutions (%),69.054,
768,Togo,2000,Capital expenditure as % of total expenditure in public institutions (%),10.0247,
768,Togo,2000,Expenditure by level of education: primary (as % of government expenditure),48.5895,
768,Togo,2000,Expenditure by level of education: secondary (as % of government expenditure),29.3135,
768,Togo,2000,Expenditure by level of education: tertiary (as % of government expenditure),17.3888,
768,Togo,2000,Government expenditure on education (% of government expenditure),24.4237,
768,Togo,2000,Public expenditure on education (% of GDP),3.9209,
768,Togo,2005,Expenditure by level of education: primary (as % of government expenditure),41.7785,
768,Togo,2005,Government expenditure on education (% of government expenditure),17.6781,
768,Togo,2005,Public expenditure on education (% of GDP),3.1598,
768,Togo,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),14.7258,
768,Togo,2010,All staff compensation as % of total expenditure in public institutions (%),74.6653,
768,Togo,2010,Capital expenditure as % of total expenditure in public institutions (%),10.6089,
768,Togo,2010,Expenditure by level of education: pre-primary (as % of government expenditure),2.6327,
768,Togo,2010,Expenditure by level of education: primary (as % of government expenditure),51.676,
768,Togo,2010,Expenditure by level of education: secondary (as % of government expenditure),25.5791,
768,Togo,2010,Expenditure by level of education: tertiary (as % of government expenditure),16.7314,
768,Togo,2010,Government expenditure on education (% of government expenditure),19.6158,
768,Togo,2010,Public expenditure on education (% of GDP),4.0965,
768,Togo,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),6.9823,
768,Togo,2015,All staff compensation as % of total expenditure in public institutions (%),90.5003,
768,Togo,2015,Capital expenditure as % of total expenditure in public institutions (%),2.5175,
768,Togo,2015,Expenditure by level of education: pre-primary (as % of government expenditure),1.587,
768,Togo,2015,Expenditure by level of education: primary (as % of government expenditure),64.4725,
768,Togo,2015,Expenditure by level of education: secondary (as % of government expenditure),16.2649,
768,Togo,2015,Expenditure by level of education: tertiary (as % of government expenditure),17.3264,
768,Togo,2015,Government expenditure on education (% of government expenditure),16.665,
768,Togo,2015,Public expenditure on education (% of GDP),5.1086,
768,Togo,2016,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),7.0667,
768,Togo,2016,All staff compensation as % of total expenditure in public institutions (%),90.5121,
768,Togo,2016,Capital expenditure as % of total expenditure in public institutions (%),2.4212,
768,Togo,2016,Expenditure by level of education: pre-primary (as % of government expenditure),1.5809,
768,Togo,2016,Expenditure by level of education: primary (as % of government expenditure),64.0632,
768,Togo,2016,Expenditure by level of education: secondary (as % of government expenditure),16.0179,
768,Togo,2016,Expenditure by level of education: tertiary (as % of government expenditure),17.9328,
768,Togo,2016,Government expenditure on education (% of government expenditure),15.9913,
768,Togo,2016,Public expenditure on education (% of GDP),5.0331,
768,Togo,2017,Expenditure by level of education: tertiary (as % of government expenditure),17.7413,Estimate.
768,Togo,2017,Government expenditure on education (% of government expenditure),23.14,Estimate.
768,Togo,2017,Public expenditure on education (% of GDP),5.0339,Estimate.
768,Togo,2018,Government expenditure on education (% of government expenditure),21.7691,Estimate.
768,Togo,2018,Public expenditure on education (% of GDP),5.4289,Estimate.
776,Tonga,2004,Expenditure by level of education: primary (as % of government expenditure),44.4381,
776,Tonga,2004,Expenditure by level of education: secondary (as % of government expenditure),30.1384,
776,Tonga,2004,Expenditure by level of education: tertiary (as % of government expenditure),21.717,
776,Tonga,2004,Government expenditure on education (% of government expenditure),18.1025,
776,Tonga,2004,Public expenditure on education (% of GDP),3.908,
780,Trinidad and Tobago,2003,Expenditure by level of education: pre-primary (as % of government expenditure),0.646,
780,Trinidad and Tobago,2003,Expenditure by level of education: primary (as % of government expenditure),39.1824,
780,Trinidad and Tobago,2003,Expenditure by level of education: secondary (as % of government expenditure),36.8308,
780,Trinidad and Tobago,2003,Government expenditure on education (% of government expenditure),13.9101,
780,Trinidad and Tobago,2003,Public expenditure on education (% of GDP),3.1366,
788,Tunisia,2000,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),8.2188,
788,Tunisia,2000,All staff compensation as % of total expenditure in public institutions (%),77.2959,
788,Tunisia,2000,Capital expenditure as % of total expenditure in public institutions (%),14.4853,
788,Tunisia,2000,Expenditure by level of education: primary (as % of government expenditure),33.3144,Estimate.
788,Tunisia,2000,Expenditure by level of education: secondary (as % of government expenditure),45.0306,Estimate.
788,Tunisia,2000,Expenditure by level of education: tertiary (as % of government expenditure),21.655,Estimate.
788,Tunisia,2000,Government expenditure on education (% of government expenditure),24.5918,Estimate.
788,Tunisia,2000,Public expenditure on education (% of GDP),6.202,Estimate.
788,Tunisia,2002,Capital expenditure as % of total expenditure in public institutions (%),11.6011,
788,Tunisia,2002,Expenditure by level of education: primary (as % of government expenditure),32.8609,Estimate.
788,Tunisia,2002,Expenditure by level of education: secondary (as % of government expenditure),44.357,Estimate.
788,Tunisia,2002,Expenditure by level of education: tertiary (as % of government expenditure),22.7822,
788,Tunisia,2002,Government expenditure on education (% of government expenditure),22.8801,
788,Tunisia,2002,Public expenditure on education (% of GDP),5.79,
788,Tunisia,2005,Expenditure by level of education: primary (as % of government expenditure),34.2771,Estimate.
788,Tunisia,2005,Expenditure by level of education: secondary (as % of government expenditure),41.5835,Estimate.
788,Tunisia,2005,Expenditure by level of education: tertiary (as % of government expenditure),24.1394,
788,Tunisia,2005,Government expenditure on education (% of government expenditure),26.6957,
788,Tunisia,2005,Public expenditure on education (% of GDP),6.4516,
788,Tunisia,2008,Capital expenditure as % of total expenditure in public institutions (%),10.0101,
788,Tunisia,2008,Expenditure by level of education: primary (as % of government expenditure),27.6597,
788,Tunisia,2008,Expenditure by level of education: secondary (as % of government expenditure),47.341,
788,Tunisia,2008,Expenditure by level of education: tertiary (as % of government expenditure),24.9993,
788,Tunisia,2008,Government expenditure on education (% of government expenditure),25.2587,
788,Tunisia,2008,Public expenditure on education (% of GDP),6.2722,
788,Tunisia,2010,Capital expenditure as % of total expenditure in public institutions (%),10.3508,
788,Tunisia,2010,Expenditure by level of education: tertiary (as % of government expenditure),28.1733,
788,Tunisia,2010,Government expenditure on education (% of government expenditure),24.8468,
788,Tunisia,2010,Public expenditure on education (% of GDP),6.2548,
788,Tunisia,2015,Expenditure by level of education: secondary (as % of government expenditure),71.5867,
788,Tunisia,2015,Expenditure by level of education: tertiary (as % of government expenditure),23.9382,
788,Tunisia,2015,Government expenditure on education (% of government expenditure),22.625,
788,Tunisia,2015,Public expenditure on education (% of GDP),6.5992,
792,Turkey,2004,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),12.6046,
792,Turkey,2004,All staff compensation as % of total expenditure in public institutions (%),66.3049,
792,Turkey,2004,Capital expenditure as % of total expenditure in public institutions (%),21.0905,
792,Turkey,2004,Expenditure by level of education: pre-primary (as % of government expenditure),0.5813,
792,Turkey,2004,Expenditure by level of education: tertiary (as % of government expenditure),27.8907,
792,Turkey,2004,Government expenditure on education (% of government expenditure),8.6517,
792,Turkey,2004,Public expenditure on education (% of GDP),3.0202,
792,Turkey,2006,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),14.8805,
792,Turkey,2006,All staff compensation as % of total expenditure in public institutions (%),74.5658,
792,Turkey,2006,Capital expenditure as % of total expenditure in public institutions (%),10.5537,
792,Turkey,2006,Expenditure by level of education: tertiary (as % of government expenditure),31.8964,
792,Turkey,2006,Government expenditure on education (% of government expenditure),8.017,
792,Turkey,2006,Public expenditure on education (% of GDP),2.7506,
795,Turkmenistan,2012,Capital expenditure as % of total expenditure in public institutions (%),33.6932,
795,Turkmenistan,2012,Expenditure by level of education: pre-primary (as % of government expenditure),28.0932,
795,Turkmenistan,2012,Expenditure by level of education: tertiary (as % of government expenditure),9.2281,
795,Turkmenistan,2012,Government expenditure on education (% of government expenditure),20.7955,
795,Turkmenistan,2012,Public expenditure on education (% of GDP),3.0493,
796,Turks and Caicos Islands,2002,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),9.7509,
796,Turks and Caicos Islands,2002,All staff compensation as % of total expenditure in public institutions (%),61.0985,
796,Turks and Caicos Islands,2002,Capital expenditure as % of total expenditure in public institutions (%),29.1506,
796,Turks and Caicos Islands,2002,Expenditure by level of education: pre-primary (as % of government expenditure),4.9702,Estimate.
796,Turks and Caicos Islands,2002,Expenditure by level of education: primary (as % of government expenditure),21.1184,Estimate.
796,Turks and Caicos Islands,2002,Expenditure by level of education: secondary (as % of government expenditure),31.7495,
796,Turks and Caicos Islands,2002,Expenditure by level of education: tertiary (as % of government expenditure),22.9209,
796,Turks and Caicos Islands,2002,Public expenditure on education (% of GDP),5.0691,
796,Turks and Caicos Islands,2003,Expenditure by level of education: primary (as % of government expenditure),21.6194,Estimate.
796,Turks and Caicos Islands,2003,Expenditure by level of education: secondary (as % of government expenditure),27.9678,
796,Turks and Caicos Islands,2003,Expenditure by level of education: tertiary (as % of government expenditure),37.2339,
796,Turks and Caicos Islands,2003,Public expenditure on education (% of GDP),4.7288,
796,Turks and Caicos Islands,2005,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),13.7201,
796,Turks and Caicos Islands,2005,All staff compensation as % of total expenditure in public institutions (%),69.4721,
796,Turks and Caicos Islands,2005,Capital expenditure as % of total expenditure in public institutions (%),16.8077,
796,Turks and Caicos Islands,2005,Expenditure by level of education: primary (as % of government expenditure),30.0021,Estimate.
796,Turks and Caicos Islands,2005,Expenditure by level of education: secondary (as % of government expenditure),47.6511,
796,Turks and Caicos Islands,2005,Public expenditure on education (% of GDP),2.541,
796,Turks and Caicos Islands,2015,Capital expenditure as % of total expenditure in public institutions (%),17.6049,
796,Turks and Caicos Islands,2015,Expenditure by level of education: primary (as % of government expenditure),36.1024,
796,Turks and Caicos Islands,2015,Expenditure by level of education: secondary (as % of government expenditure),41.4733,
796,Turks and Caicos Islands,2015,Expenditure by level of education: tertiary (as % of government expenditure),22.4244,
796,Turks and Caicos Islands,2015,Government expenditure on education (% of government expenditure),14.2622,
796,Turks and Caicos Islands,2015,Public expenditure on education (% of GDP),3.1575,
796,Turks and Caicos Islands,2018,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),6.524,
796,Turks and Caicos Islands,2018,All staff compensation as % of total expenditure in public institutions (%),74.6382,
796,Turks and Caicos Islands,2018,Capital expenditure as % of total expenditure in public institutions (%),18.8378,
796,Turks and Caicos Islands,2018,Expenditure by level of education: pre-primary (as % of government expenditure),16.7054,
796,Turks and Caicos Islands,2018,Expenditure by level of education: primary (as % of government expenditure),19.407,
796,Turks and Caicos Islands,2018,Expenditure by level of education: secondary (as % of government expenditure),39.4489,
796,Turks and Caicos Islands,2018,Expenditure by level of education: tertiary (as % of government expenditure),24.4386,
796,Turks and Caicos Islands,2018,Government expenditure on education (% of government expenditure),12.1233,
796,Turks and Caicos Islands,2018,Public expenditure on education (% of GDP),2.9144,
800,Uganda,2004,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),12.0543,
800,Uganda,2004,All staff compensation as % of total expenditure in public institutions (%),62.7442,
800,Uganda,2004,Capital expenditure as % of total expenditure in public institutions (%),25.2015,
800,Uganda,2004,Expenditure by level of education: primary (as % of government expenditure),61.2103,
800,Uganda,2004,Expenditure by level of education: secondary (as % of government expenditure),17.3128,
800,Uganda,2004,Expenditure by level of education: tertiary (as % of government expenditure),11.8657,
800,Uganda,2004,Government expenditure on education (% of government expenditure),20.3083,
800,Uganda,2004,Public expenditure on education (% of GDP),4.9524,
800,Uganda,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),51.11,
800,Uganda,2010,All staff compensation as % of total expenditure in public institutions (%),35.5326,
800,Uganda,2010,Capital expenditure as % of total expenditure in public institutions (%),13.3574,
800,Uganda,2010,Expenditure by level of education: primary (as % of government expenditure),47.2687,
800,Uganda,2010,Expenditure by level of education: secondary (as % of government expenditure),39.4308,
800,Uganda,2010,Expenditure by level of education: tertiary (as % of government expenditure),13.3005,
800,Uganda,2010,Government expenditure on education (% of government expenditure),10.1049,
800,Uganda,2010,Public expenditure on education (% of GDP),2.389,
800,Uganda,2014,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),48.3422,
800,Uganda,2014,All staff compensation as % of total expenditure in public institutions (%),39.1028,
800,Uganda,2014,Capital expenditure as % of total expenditure in public institutions (%),12.555,
800,Uganda,2014,Expenditure by level of education: primary (as % of government expenditure),59.155,
800,Uganda,2014,Expenditure by level of education: secondary (as % of government expenditure),24.55,
800,Uganda,2014,Expenditure by level of education: tertiary (as % of government expenditure),16.295,
800,Uganda,2014,Government expenditure on education (% of government expenditure),10.876,
800,Uganda,2014,Public expenditure on education (% of GDP),2.2507,
800,Uganda,2015,Government expenditure on education (% of government expenditure),12.1362,Estimate.
800,Uganda,2015,Public expenditure on education (% of GDP),2.7738,Estimate.
800,Uganda,2018,Government expenditure on education (% of government expenditure),10.917,Estimate.
800,Uganda,2018,Public expenditure on education (% of GDP),2.5208,Estimate.
804,Ukraine,2000,Capital expenditure as % of total expenditure in public institutions (%),8.3073,
804,Ukraine,2000,Expenditure by level of education: pre-primary (as % of government expenditure),11.1354,
804,Ukraine,2000,Expenditure by level of education: tertiary (as % of government expenditure),32.256,
804,Ukraine,2000,Government expenditure on education (% of government expenditure),11.359,
804,Ukraine,2000,Public expenditure on education (% of GDP),4.1662,
804,Ukraine,2005,Expenditure by level of education: pre-primary (as % of government expenditure),10.9903,
804,Ukraine,2005,Expenditure by level of education: tertiary (as % of government expenditure),29.4796,
804,Ukraine,2005,Government expenditure on education (% of government expenditure),13.7387,
804,Ukraine,2005,Public expenditure on education (% of GDP),6.0644,
804,Ukraine,2009,Expenditure by level of education: pre-primary (as % of government expenditure),12.4678,
804,Ukraine,2009,Expenditure by level of education: tertiary (as % of government expenditure),32.3961,
804,Ukraine,2009,Government expenditure on education (% of government expenditure),15.0548,
804,Ukraine,2009,Public expenditure on education (% of GDP),7.318,
804,Ukraine,2014,Capital expenditure as % of total expenditure in public institutions (%),2.2173,
804,Ukraine,2014,Expenditure by level of education: pre-primary (as % of government expenditure),16.2891,
804,Ukraine,2014,Expenditure by level of education: primary (as % of government expenditure),18.0335,
804,Ukraine,2014,Expenditure by level of education: secondary (as % of government expenditure),27.8352,
804,Ukraine,2014,Expenditure by level of education: tertiary (as % of government expenditure),31.5181,
804,Ukraine,2014,Government expenditure on education (% of government expenditure),13.1214,
804,Ukraine,2014,Public expenditure on education (% of GDP),5.8749,
804,Ukraine,2017,Capital expenditure as % of total expenditure in public institutions (%),7.7048,
804,Ukraine,2017,Expenditure by level of education: pre-primary (as % of government expenditure),17.468,
804,Ukraine,2017,Expenditure by level of education: primary (as % of government expenditure),21.678,
804,Ukraine,2017,Expenditure by level of education: secondary (as % of government expenditure),30.733,
804,Ukraine,2017,Expenditure by level of education: tertiary (as % of government expenditure),24.9905,
804,Ukraine,2017,Government expenditure on education (% of government expenditure),13.0514,
804,Ukraine,2017,Public expenditure on education (% of GDP),5.4123,
826,United Kingdom,2005,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),18.5183,
826,United Kingdom,2005,All staff compensation as % of total expenditure in public institutions (%),73.4904,
826,United Kingdom,2005,Capital expenditure as % of total expenditure in public institutions (%),7.9913,
826,United Kingdom,2005,Expenditure by level of education: pre-primary (as % of government expenditure),5.8541,
826,United Kingdom,2005,Expenditure by level of education: primary (as % of government expenditure),26.465,
826,United Kingdom,2005,Expenditure by level of education: secondary (as % of government expenditure),45.3888,
826,United Kingdom,2005,Expenditure by level of education: tertiary (as % of government expenditure),22.2921,
826,United Kingdom,2005,Government expenditure on education (% of government expenditure),13.1742,
826,United Kingdom,2005,Public expenditure on education (% of GDP),4.9665,
826,United Kingdom,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),29.7958,
826,United Kingdom,2010,All staff compensation as % of total expenditure in public institutions (%),58.7914,
826,United Kingdom,2010,Capital expenditure as % of total expenditure in public institutions (%),11.4128,
826,United Kingdom,2010,Expenditure by level of education: pre-primary (as % of government expenditure),5.1949,
826,United Kingdom,2010,Expenditure by level of education: primary (as % of government expenditure),30.0924,
826,United Kingdom,2010,Expenditure by level of education: secondary (as % of government expenditure),48.318,
826,United Kingdom,2010,Expenditure by level of education: tertiary (as % of government expenditure),16.3947,
826,United Kingdom,2010,Government expenditure on education (% of government expenditure),13.026,
826,United Kingdom,2010,Public expenditure on education (% of GDP),5.7416,
826,United Kingdom,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),23.4979,
826,United Kingdom,2015,All staff compensation as % of total expenditure in public institutions (%),73.8862,
826,United Kingdom,2015,Capital expenditure as % of total expenditure in public institutions (%),2.6159,
826,United Kingdom,2015,Expenditure by level of education: pre-primary (as % of government expenditure),3.4557,
826,United Kingdom,2015,Expenditure by level of education: primary (as % of government expenditure),32.1666,
826,United Kingdom,2015,Expenditure by level of education: secondary (as % of government expenditure),41.0358,
826,United Kingdom,2015,Expenditure by level of education: tertiary (as % of government expenditure),22.8208,
826,United Kingdom,2015,Government expenditure on education (% of government expenditure),13.8366,
826,United Kingdom,2015,Public expenditure on education (% of GDP),5.6094,
826,United Kingdom,2016,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),20.8512,
826,United Kingdom,2016,All staff compensation as % of total expenditure in public institutions (%),76.846,
826,United Kingdom,2016,Capital expenditure as % of total expenditure in public institutions (%),2.3028,
826,United Kingdom,2016,Expenditure by level of education: pre-primary (as % of government expenditure),3.6057,
826,United Kingdom,2016,Expenditure by level of education: primary (as % of government expenditure),32.3267,
826,United Kingdom,2016,Expenditure by level of education: secondary (as % of government expenditure),37.8374,
826,United Kingdom,2016,Expenditure by level of education: tertiary (as % of government expenditure),25.6159,
826,United Kingdom,2016,Government expenditure on education (% of government expenditure),13.8311,
826,United Kingdom,2016,Public expenditure on education (% of GDP),5.487,
834,United Rep. of Tanzania,2005,Expenditure by level of education: pre-primary (as % of government expenditure),5.7825,
834,United Rep. of Tanzania,2005,Expenditure by level of education: primary (as % of government expenditure),56.0234,
834,United Rep. of Tanzania,2005,Expenditure by level of education: secondary (as % of government expenditure),12.8514,
834,United Rep. of Tanzania,2005,Expenditure by level of education: tertiary (as % of government expenditure),21.6798,
834,United Rep. of Tanzania,2005,Government expenditure on education (% of government expenditure),18.1431,
834,United Rep. of Tanzania,2005,Public expenditure on education (% of GDP),3.5463,
834,United Rep. of Tanzania,2009,Expenditure by level of education: pre-primary (as % of government expenditure),4.3517,
834,United Rep. of Tanzania,2009,Expenditure by level of education: primary (as % of government expenditure),41.9061,
834,United Rep. of Tanzania,2009,Expenditure by level of education: secondary (as % of government expenditure),16.6607,
834,United Rep. of Tanzania,2009,Expenditure by level of education: tertiary (as % of government expenditure),33.7757,
834,United Rep. of Tanzania,2009,Government expenditure on education (% of government expenditure),17.4109,
834,United Rep. of Tanzania,2009,Public expenditure on education (% of GDP),3.9608,
834,United Rep. of Tanzania,2010,Expenditure by level of education: secondary (as % of government expenditure),11.3244,
834,United Rep. of Tanzania,2010,Expenditure by level of education: tertiary (as % of government expenditure),28.2968,
834,United Rep. of Tanzania,2010,Government expenditure on education (% of government expenditure),19.648,
834,United Rep. of Tanzania,2010,Public expenditure on education (% of GDP),4.5417,
834,United Rep. of Tanzania,2014,Expenditure by level of education: pre-primary (as % of government expenditure),6.0273,
834,United Rep. of Tanzania,2014,Expenditure by level of education: primary (as % of government expenditure),49.1503,
834,United Rep. of Tanzania,2014,Expenditure by level of education: secondary (as % of government expenditure),18.2684,
834,United Rep. of Tanzania,2014,Expenditure by level of education: tertiary (as % of government expenditure),21.3993,
834,United Rep. of Tanzania,2014,Government expenditure on education (% of government expenditure),17.2971,
834,United Rep. of Tanzania,2014,Public expenditure on education (% of GDP),3.3849,
834,United Rep. of Tanzania,2018,Government expenditure on education (% of government expenditure),20.56,Estimate.
834,United Rep. of Tanzania,2018,Public expenditure on education (% of GDP),3.6964,Estimate.
